Title,Year,Rating,Votes,Runtime(min),Genres,Overview,Director,Actors
La Maison en Petits Cubes,2008,7.9,432,12,Animation,La Maison en Petits Cubes tells the story of a grandfather's memories as he adds more blocks to his house to stem the flooding waters.,Kunio Katou,Masami Nagasawa
Rebecca,1940,7.896,1814,130,"Mystery, Romance, Thriller","Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce"
Winter Light,1963,7.895,461,80,Drama,"A Swedish pastor fails a loving woman, a suicidal fisherman and God.",Ingmar Bergman,"Ingrid Thulin, Gunnar Björnstrand, Gunnel Lindblom, Max von Sydow, Allan Edwall"
Persepolis,2007,7.894,1990,95,"Animation, Drama","In 1970s Iran, Marjane 'Marji' Satrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.",Vincent Paronnaud,"Chiara Mastroianni, Danielle Darrieux, Catherine Deneuve, Simon Abkarian, Gabrielle Lopes Benites"
A Separation,2011,7.893,1786,123,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Leila Hatami, Payman Maadi, Sareh Bayat, Sarina Farhadi, Shahab Hosseini"
Young Woman and the Sea,2024,7.9,342,129,"History, Drama","This is the extraordinary true story of Trudy Ederle, the first woman to successfully swim the English Channel. Through the steadfast support of her older sister and supportive trainers, she overcame adversity and the animosity of a patriarchal society to rise through the ranks of the Olympic swimming team and complete the 21-mile trek from France to England.",Joachim Rønning,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham, Kim Bodnia, Jeanette Hain"
Bad Genius,2017,7.891,792,130,"Drama, Crime, Thriller, Comedy","Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.",Nattawut Poonpiriya,"Chutimon Chuengcharoensukying, Eisaya Hosuwan, Teeradon Supapunpinyo, Chanon Santinatornkul, Thaneth Warakulnukroh"
El Infierno,2010,7.891,699,148,"Action, Crime, Western, Comedy, Drama","After being deported back to Mexico, a man has no choice but to join the vicious drug cartel that has corrupted his hometown in order to survive.",Luis Estrada,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes"
The Pursuit of Happyness,2006,7.891,10032,117,Drama,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,"Will Smith, Jaden Smith, Thandiwe Newton, Brian Howe, James Karen"
Gone Girl,2014,7.89,18950,149,"Mystery, Thriller, Drama","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon"
Thirteen Lives,2022,7.889,1311,147,"Drama, Thriller","Based on the true nail-biting mission that captivated the world. Twelve boys and the coach of a Thai soccer team explore the Tham Luang cave when an unexpected rainstorm traps them in a chamber inside the mountain. Entombed behind a maze of flooded cave tunnels, they face impossible odds. A team of world-class divers navigate through miles of dangerous cave networks to discover that finding the boys is only the beginning.",Ron Howard,"Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman, Paul Gleeson"
Dangal,2016,7.889,1027,161,"Drama, Family, Comedy","Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim, Suhani Bhatnagar"
Coraline,2009,7.89,8326,100,"Animation, Family, Fantasy","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David"
The Notebook,2004,7.889,11801,123,"Romance, Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",Nick Cassavetes,"Ryan Gosling, Rachel McAdams, Gena Rowlands, James Garner, Joan Allen"
Umberto D.,1952,7.9,696,91,Drama,"When elderly pensioner Umberto Domenico Ferrari returns to his boarding house from a protest calling for a hike in old-age pensions, his landlady demands her 15,000-lire rent by the end of the month or he and his small dog will be turned out onto the street. Unable to get the money in time, Umberto fakes illness to get sent to a hospital, giving his beloved dog to the landlady's pregnant and abandoned maid for temporary safekeeping.",Vittorio De Sica,"Carlo Battisti, Napoleone the Dog, Maria Pia Casilio, Lina Gennari, Elena Rea"
Wish Dragon,2021,7.888,1371,99,"Animation, Family, Comedy, Fantasy",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,Chris Appelhans,"Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang"
The Mitchells vs. the Machines,2021,7.888,3025,110,"Animation, Adventure, Comedy","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",Mike Rianda,"Abbi Jacobson, Danny McBride, Maya Rudolph, Mike Rianda, Eric André"
Yi Yi,2000,7.887,558,174,Drama,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother-in-law is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.",Edward Yang,"Wu Nien-jen, Issey Ogata, Elaine Jin Yan-Ling, Kelly Lee, Jonathan Chang"
Nimona,2023,7.886,1163,101,"Animation, Family, Action, Science Fiction, Adventure, Fantasy, Drama","A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",Nick Bruno,"Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy, Lorraine Toussaint"
I'm No Longer Here,2019,7.9,497,112,Drama,"In Monterrey, Mexico, a young street gang spends their days dancing to slowed-down cumbia and attending parties. After a mix-up with a local cartel, their leader is forced to migrate to the U.S. but quickly longs to return home.",Luis Fernando Frías de la Parra,"Juan Daniel Garcia Treviño, Jonathan Espinoza, Xueming Angelina Chen, Bianca Coral Puente Valenzuela, Tania Alvarado"
Werckmeister Harmonies,2001,7.882,338,139,Drama,A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.,Béla Tarr,"Lars Rudolph, Peter Fitz, Hanna Schygulla, Alfréd Járai, Gyula Pauer"
Regular Show: The Movie,2015,7.88,396,69,"Animation, Comedy, Science Fiction, TV Movie, Adventure, Action, Family, Fantasy","After a high school lab experiment goes horribly wrong, Mordecai and Rigby must go back in time to battle an evil volleyball coach in order to save the universe — and their friendship.",J.G. Quintel,"J.G. Quintel, William Salyers, Sam Marin, Mark Hamill, Minty Lewis"
Justice League: The Flashpoint Paradox,2013,7.88,1853,75,"Animation, Science Fiction, Action, Adventure, Fantasy",The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to restore the timeline.,Jay Oliva,"Justin Chambers, C. Thomas Howell, Michael B. Jordan, Kevin McKidd, Kevin Conroy"
Ben-Hur,1959,7.88,2849,222,"History, Drama, Adventure, Action","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",William Wyler,"Charlton Heston, Stephen Boyd, Hugh Griffith, Jack Hawkins, Haya Harareet"
La Jetée,1962,7.9,915,29,"Drama, Romance, Science Fiction",A man confronts his past during an experiment that attempts to find a solution to the problems of a post-apocalyptic world caused by a world war.,Chris Marker,"Jean Négroni, Hélène Chatelain, Davos Hanich, Jacques Ledoux, André Heinrich"
Invisible Life,2019,7.877,313,140,Drama,"Rio de Janeiro, Brazil, 1950. In the conservative home of the Gusmão family, Eurídice and Guida are two inseparable sisters who support each other. While Guida can share with her younger sister the details of her romantic adventures, Eurídice finds in her older sister the encouragement she needs to pursue her dream of becoming a professional pianist.",Karim Aïnouz,"Carol Duarte, Julia Stockler, Fernanda Montenegro, Gregório Duvivier, Bárbara Santos"
The Greatest Showman,2017,7.9,9591,105,Drama,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya"
Paper Moon,1973,7.876,743,102,"Comedy, Crime, Drama","A bible salesman finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership as a money-making con team in Depression-era Kansas.",Peter Bogdanovich,"Tatum O'Neal, Ryan O'Neal, Madeline Kahn, John Hillerman, Jessie Lee Fulton"
Roman Holiday,1953,7.875,2092,119,"Romance, Comedy, Drama","Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",William Wyler,"Audrey Hepburn, Gregory Peck, Eddie Albert, Hartley Power, Harcourt Williams"
We Are the Nobles,2013,7.9,505,108,Comedy,"Tells the ""riches to rags"" story of the Nobles, three upper-class twenty-somethings that appear to have no limits to their checkbooks, and no direction in their lives. Until one day, their father tries to teach them a lesson by staging a financial scandal that forces the whole family to escape to an old house in the poor side of town, and leads the ""kids"" to do what they haven't done before: get jobs.",Gary Alazraki,"Gonzalo Vega, Luis Gerardo Méndez, Karla Souza, Juan Pablo Gil, Ianis Guerrero"
The Battle of Algiers,1966,7.9,799,121,"Drama, War, History",Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,Gillo Pontecorvo,"Brahim Hadjadj, Yacef Saâdi, Fouzia El Kader, Jean Martin, Mohamed Ben Kassen"
Kill Bill: Vol. 2,2004,7.9,14179,136,"Action, Crime, Thriller","The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Gordon Liu Chia-Hui"
